FID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
2293774	-12.1207	3.67457	-0.939933	1.4543	-2.67934	-1.96641	3.3106	-0.556741	3.00711	3.72134
1970827	-10.2239	2.93397	-2.13547	-1.53605	-6.52406	-1.87377	-3.37141	1.38651	-1.40514	-0.0356639
1177660	-8.01926	-1.98688	0.301768	0.588621	-11.2988	22.1382	-29.9726	35.3058	-4.75381	-7.33388
1762590	-13.6468	3.15666	-1.02561	3.03402	0.222431	-2.88683	-2.75068	-0.285011	5.87885	-1.20663
1375621	-13.505	3.74097	-1.58895	1.1678	-2.07001	1.51768	0.140096	-1.31129	-3.83995	1.3652
3350759	-12.4898	3.57752	0.606098	-0.587141	-6.57621	2.22027	1.11686	-0.665132	-5.93288	-2.99537
5828151	-12.0912	2.97948	-2.07204	-0.473385	-4.11152	1.85339	0.379227	-2.88088	2.24945	-2.33571
4592554	-13.1226	6.08533	-2.51186	2.21753	-6.25949	1.71083	-1.62836	2.21136	2.40269	-1.38996
3180781	-11.9969	5.10457	-0.454911	1.91626	-8.27747	-0.584218	1.5833	-3.02183	-2.65689	0.528504
1449236	-12.4729	5.37715	-1.3588	2.33899	-3.51662	1.31004	-0.36131	0.29502	-3.55823	-2.09135
3123104	-12.0512	5.14357	-2.89946	4.15693	4.42464	0.67472	0.179549	2.41033	1.1886	-2.25585
5484352	-9.0425	4.01378	-0.486276	0.55924	16.2158	-1.94765	2.59953	1.6294	2.66784	-0.631976
2994875	-12.1207	4.03568	-0.581939	-3.14929	-0.087105	-0.455533	1.62615	-0.0475406	0.931807	-4.0024
5980281	-11.7937	6.39058	-2.08512	4.49924	3.4101	-1.38047	0.677723	-1.65673	1.87724	0.876715
5809219	-10.1452	4.44056	0.703729	2.18087	0.266403	-1.37364	1.02187	-1.9721	3.02413	0.921105
3428045	-10.2944	2.74355	2.82219	0.38535	1.72258	-1.24183	-0.840211	-0.154222	5.11558	1.96931
1999215	-8.5739	0.93676	4.00152	-13.9719	-6.62375	6.11893	-0.670929	8.77467	-1.26829	-6.88501
2822751	-14.6814	2.81463	-1.33635	6.8642	13.6934	-0.137923	-2.0347	2.43141	5.80581	-2.77446
5776243	-12.1342	4.56714	-0.846125	-2.13148	-5.61155	-2.17439	3.37881	0.281097	1.7851	1.16158
3554200	-12.9904	3.46737	-2.42857	10.2362	22.314	0.0559322	1.25569	4.49776	6.9279	-1.78198
3725278	-15.5633	1.89891	-0.900563	1.67651	6.15178	-1.72269	0.0931782	-1.2828	-23.3619	4.88671
5596368	-13.0623	4.34289	-0.82899	-1.26357	-9.98475	0.581482	1.81869	-1.98945	3.62378	2.94169
3498603	16.2006	-12.4378	32.2994	-61.1646	6.84639	7.68269	24.4451	20.4179	2.02082	-1.64276
5196269	-9.70153	1.62907	-1.59703	1.03783	-0.382241	-0.215626	2.76128	-1.57866	-5.89143	1.57324
2102105	-13.5419	2.70622	-1.36584	2.84324	5.87262	-0.420709	-0.675848	3.77225	1.7152	-1.2813
4830905	-13.8466	4.18265	-1.77584	3.53724	10.4807	-0.49301	1.64987	0.136184	4.7314	-1.96038
5656813	-13.6861	4.44348	-0.209201	0.568004	-11.0972	-3.66556	1.85894	-4.34112	0.592771	1.11409
3744903	-13.3512	1.49876	1.06269	3.74413	1.76853	-0.253015	3.13529	-6.07734	-13.9581	6.058
2491361	-12.8888	5.96457	-1.42773	-3.58413	-3.33703	-4.7105	2.87863	2.7424	-0.896008	-3.26952
2056241	-7.51996	1.40942	1.16684	1.85363	-2.00175	0.242971	1.26358	-0.0750396	-1.00872	2.84238
4285843	-12.3143	6.39208	-3.04647	2.43133	-7.55809	0.242761	-1.802	-0.764037	-1.78975	1.18874
4576850	-13.0322	3.77971	-1.1074	3.8663	9.64323	0.778445	0.548178	-2.88603	-2.21144	0.878285
4664082	-10.9987	2.65299	-0.111453	8.24716	14.2967	1.15092	2.42984	0.56524	1.25997	1.36097
